player_name,national_team,club_name,club_wikipedia_url,club_country,start_age_est,end_age_est,start_year_est,end_year_est,source_primary,source_secondary,confidence,notes
Amine Gouiri,Algeria,Isle d'Abeau FC,,France,7,11,2007,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Amine_Gouiri,medium,First-pass youth record from Wikipedia. Original youth span: 2007–2011. Club country still needs backfill.
Amine Gouiri,Algeria,Bourgoin-Jallieu,https://en.wikipedia.org/wiki/FC_Bourgoin-Jallieu,France,11,13,2011,2013,Wikipedia player infobox,https://en.wikipedia.org/wiki/Amine_Gouiri,medium,First-pass youth record from Wikipedia. Original youth span: 2011–2013. Club country still needs backfill.
Amine Gouiri,Algeria,Lyon,https://en.wikipedia.org/wiki/Olympique_Lyonnais_Reserves_and_Academy,France,13,16,2013,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Amine_Gouiri,medium,First-pass youth record from Wikipedia. Original youth span: 2013–2017. Club country still needs backfill.
Anis Hadj Moussa,Algeria,FC Montfermeil,,France,14,16,2016,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Anis_Hadj_Moussa,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2018. Club country still needs backfill.
Anis Hadj Moussa,Algeria,US Torcy,https://en.wikipedia.org/wiki/US_Torcy,France,14,14,2016,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Anis_Hadj_Moussa,medium,First-pass youth record from Wikipedia. Original youth span: 0000 –2016. Club country still needs backfill.
Anis Hadj Moussa,Algeria,Lens,https://en.wikipedia.org/wiki/RC_Lens,France,16,16,2018,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Anis_Hadj_Moussa,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2022. Club country still needs backfill.
Aïssa Mandi,Algeria,Reims,https://en.wikipedia.org/wiki/Stade_de_Reims,France,9,16,2000,2007,Wikipedia player infobox,https://en.wikipedia.org/wiki/Aïssa_Mandi,medium,First-pass youth record from Wikipedia. Original youth span: 2000–2009. Club country still needs backfill.
Farès Chaïbi,Algeria,AS Bron,,France,14,16,2016,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Farès_Chaïbi,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2018. Club country still needs backfill.
Farès Chaïbi,Algeria,Lyon,https://en.wikipedia.org/wiki/FC_Lyon,France,16,16,2018,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Farès_Chaïbi,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2019. Club country still needs backfill.
Hicham Boudaoui,Algeria,Paradou AC,https://en.wikipedia.org/wiki/Paradou_AC,Algeria,13,16,2012,2015,Wikipedia player infobox,https://en.wikipedia.org/wiki/Hicham_Boudaoui,medium,First-pass youth record from Wikipedia. Original youth span: 2012–2018. Club country still needs backfill.
Houssem Aouar,Algeria,AC Villeurbanne,,France,8,11,2006,2009,Wikipedia player infobox,https://en.wikipedia.org/wiki/Houssem_Aouar,medium,First-pass youth record from Wikipedia. Original youth span: 2006–2009. Club country still needs backfill.
Houssem Aouar,Algeria,Lyon,https://en.wikipedia.org/wiki/Olympique_Lyonnais_Reserves_and_Academy,France,11,16,2009,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Houssem_Aouar,medium,First-pass youth record from Wikipedia. Original youth span: 2009–2016. Club country still needs backfill.
Ibrahim Maza,Algeria,Reinickendorfer Füchse,https://en.wikipedia.org/wiki/Reinickendorfer_Füchse,Germany,6,13,2011,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Ibrahim_Maza,medium,First-pass youth record from Wikipedia. Original youth span: 2011–2018. Club country still needs backfill.
Ibrahim Maza,Algeria,Hertha BSC,https://en.wikipedia.org/wiki/Hertha_BSC,Germany,13,16,2018,2021,Wikipedia player infobox,https://en.wikipedia.org/wiki/Ibrahim_Maza,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2023. Club country still needs backfill.
Jaouen Hadjam,Algeria,Champagne 95,,France,6,8,2009,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jaouen_Hadjam,medium,First-pass youth record from Wikipedia. Original youth span: 2009–2011. Club country still needs backfill.
Jaouen Hadjam,Algeria,Alfortville,,France,8,11,2011,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jaouen_Hadjam,medium,First-pass youth record from Wikipedia. Original youth span: 2011–2014. Club country still needs backfill.
Jaouen Hadjam,Algeria,Paris Saint-Germain,https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.,France,11,12,2014,2015,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jaouen_Hadjam,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2015. Club country still needs backfill.
Jaouen Hadjam,Algeria,Creteil,https://en.wikipedia.org/wiki/US_Créteil-Lusitanos,France,12,15,2015,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jaouen_Hadjam,medium,First-pass youth record from Wikipedia. Original youth span: 2015–2018. Club country still needs backfill.
Jaouen Hadjam,Algeria,Paris FC,https://en.wikipedia.org/wiki/Paris_FC,France,15,16,2018,2019,Wikipedia player infobox,https://en.wikipedia.org/wiki/Jaouen_Hadjam,medium,First-pass youth record from Wikipedia. Original youth span: 2018–2020. Club country still needs backfill.
Luca Zidane,Algeria,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_CF_(youth),Spain,6,16,2004,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Luca_Zidane,medium,First-pass youth record from Wikipedia. Original youth span: 2004–2018. Club country still needs backfill.
Nabil Bentaleb,Algeria,AJS Wazemmes,,France,7,10,2001,2004,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nabil_Bentaleb,medium,First-pass youth record from Wikipedia. Original youth span: 2001–2004. Club country still needs backfill.
Nabil Bentaleb,Algeria,Lille,https://en.wikipedia.org/wiki/Lille_OSC,France,10,15,2004,2009,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nabil_Bentaleb,medium,First-pass youth record from Wikipedia. Original youth span: 2004–2009. Club country still needs backfill.
Nabil Bentaleb,Algeria,Mouscron,https://en.wikipedia.org/wiki/R.E._Mouscron,Belgium,15,15,2009,2009,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nabil_Bentaleb,medium,First-pass youth record from Wikipedia. Original youth span: 2009. Club country still needs backfill.
Nabil Bentaleb,Algeria,Dunkerque,https://en.wikipedia.org/wiki/USL_Dunkerque,France,16,16,2010,2010,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nabil_Bentaleb,medium,First-pass youth record from Wikipedia. Original youth span: 2010–2012. Club country still needs backfill.
Oussama Benbot,Algeria,AS Aïn M'lila,https://en.wikipedia.org/wiki/AS_Aïn_M'lila,Algeria,,,,,Wikipedia player infobox,https://en.wikipedia.org/wiki/Oussama_Benbot,low,Fallback youth record from the earliest listed youth club in the Wikipedia infobox. Exact overlap with ages 5-16 is not published clearly enough to estimate.
Rafik Belghali,Algeria,Sint-Truiden,https://en.wikipedia.org/wiki/Sint-Truidense_V.V.,Belgium,7,8,2009,2010,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rafik_Belghali,medium,First-pass youth record from Wikipedia. Original youth span: 2009–2010. Club country still needs backfill.
Rafik Belghali,Algeria,PSV,https://en.wikipedia.org/wiki/PSV_Eindhoven,Netherlands,8,9,2010,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rafik_Belghali,medium,First-pass youth record from Wikipedia. Original youth span: 2010–2011. Club country still needs backfill.
Rafik Belghali,Algeria,Lierse,https://en.wikipedia.org/wiki/Lierse_S.K._(1906),Belgium,9,11,2011,2013,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rafik_Belghali,medium,First-pass youth record from Wikipedia. Original youth span: 2011–2013. Club country still needs backfill.
Rafik Belghali,Algeria,Zulte Waregem,https://en.wikipedia.org/wiki/S.V._Zulte_Waregem,Belgium,11,16,2013,2018,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rafik_Belghali,medium,First-pass youth record from Wikipedia. Original youth span: 2013–2018. Club country still needs backfill.
Ramiz Zerrouki,Algeria,Ajax,https://en.wikipedia.org/wiki/AFC_Ajax,Netherlands,8,16,2006,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Ramiz_Zerrouki,medium,First-pass youth record from Wikipedia. Original youth span: 2006–2016. Club country still needs backfill.
Ramy Bensebaini,Algeria,Paradou AC,https://en.wikipedia.org/wiki/Paradou_AC,Algeria,13,16,2008,2011,Wikipedia player infobox,https://en.wikipedia.org/wiki/Ramy_Bensebaini,medium,First-pass youth record from Wikipedia. Original youth span: 2008–2013. Club country still needs backfill.
Rayan Aït-Nouri,Algeria,AS Val de Fontenay,,France,8,11,2009,2012,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rayan_Aït-Nouri,medium,First-pass youth record from Wikipedia. Original youth span: 2009–2012. Club country still needs backfill.
Rayan Aït-Nouri,Algeria,ASF Le Perreux 94,,France,11,13,2012,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rayan_Aït-Nouri,medium,First-pass youth record from Wikipedia. Original youth span: 2012–2014. Club country still needs backfill.
Rayan Aït-Nouri,Algeria,Paris,https://en.wikipedia.org/wiki/Paris_FC,France,13,15,2014,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rayan_Aït-Nouri,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2016. Club country still needs backfill.
Rayan Aït-Nouri,Algeria,Angers,https://en.wikipedia.org/wiki/Angers_SCO,France,15,16,2016,2017,Wikipedia player infobox,https://en.wikipedia.org/wiki/Rayan_Aït-Nouri,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2018. Club country still needs backfill.
Riyad Mahrez,Algeria,AAS Sarcelles,,France,13,16,2004,2007,Wikipedia player infobox,https://en.wikipedia.org/wiki/Riyad_Mahrez,medium,First-pass youth record from Wikipedia. Original youth span: 2004–2009. Club country still needs backfill.
Alexis Mac Allister,Argentina,Club Social Parque,,Argentina,6,13,2004,2011,Transfermarkt,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,medium,Second-pass research. Original span: 2004-2011. Club country pending backfill.
Alexis Mac Allister,Argentina,Argentinos Juniors,https://en.wikipedia.org/wiki/Argentinos_Juniors,Argentina,13,16,2011,2014,Transfermarkt,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,medium,Second-pass research. Original span: 2011-2016. Club country pending backfill.
Cristian Romero,Argentina,Belgrano,https://en.wikipedia.org/wiki/Club_Atlético_Belgrano,Argentina,16,16,2014,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Cristian_Romero,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2016. Club country still needs backfill.
Emiliano Martínez,Argentina,Independiente,https://en.wikipedia.org/wiki/Club_Atlético_Independiente,Argentina,16,16,2008,2008,Wikipedia player infobox,https://en.wikipedia.org/wiki/Emiliano_Martínez,medium,First-pass youth record from Wikipedia. Original youth span: 2008–2010. Club country still needs backfill.
Enzo Fernández,Argentina,River Plate,https://en.wikipedia.org/wiki/Club_Atlético_River_Plate,Argentina,6,16,2007,2017,Wikipedia player infobox,https://en.wikipedia.org/wiki/Enzo_Fernández,medium,First-pass youth record from Wikipedia. Original youth span: 2007–2019. Club country still needs backfill.
Exequiel Palacios,Argentina,River Plate,https://en.wikipedia.org/wiki/Club_Atlético_River_Plate,Argentina,,,,,Wikipedia player infobox,https://en.wikipedia.org/wiki/Exequiel_Palacios,low,Fallback youth record from the earliest listed youth club in the Wikipedia infobox. Exact overlap with ages 5-16 is not published clearly enough to estimate.
Facundo Medina,Argentina,CA River Plate,https://en.wikipedia.org/wiki/CA_River_Plate,Argentina,11,16,2010,2015,Transfermarkt,https://www.transfermarkt.com/facundo-medina/profil/spieler/474800,medium,Second-pass research. Original span: 2010-2018. Club country pending backfill.
Giovani Lo Celso,Argentina,Rosario Central,https://en.wikipedia.org/wiki/Rosario_Central,Argentina,14,16,2010,2012,Wikipedia player infobox,https://en.wikipedia.org/wiki/Giovani_Lo_Celso,medium,First-pass youth record from Wikipedia. Original youth span: 2010–2015. Club country still needs backfill.
Giuliano Simeone,Argentina,CA River Plate,https://en.wikipedia.org/wiki/CA_River_Plate,Argentina,5,16,2007,2018,Transfermarkt,https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201,medium,Second-pass research. Original span: 2007-2019. Club country pending backfill.
Gonzalo Montiel,Argentina,River Plate,https://en.wikipedia.org/wiki/Club_Atlético_River_Plate,Argentina,,,,,Wikipedia player infobox,https://en.wikipedia.org/wiki/Gonzalo_Montiel,low,Fallback youth record from the earliest listed youth club in the Wikipedia infobox. Exact overlap with ages 5-16 is not published clearly enough to estimate.
Julián Alvarez,Argentina,Atlético Calchín,,Argentina,14,16,2014,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Julián_Alvarez,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2016. Club country still needs backfill.
Julián Alvarez,Argentina,River Plate,https://en.wikipedia.org/wiki/Club_Atlético_River_Plate,Argentina,16,16,2016,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Julián_Alvarez,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2019. Club country still needs backfill.
Lautaro Martínez,Argentina,Liniers,https://en.wikipedia.org/wiki/Liniers_de_Bahía_Blanca,Argentina,9,16,2006,2013,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lautaro_Martínez,medium,First-pass youth record from Wikipedia. Original youth span: 2006–2014. Club country still needs backfill.
Leandro Paredes,Argentina,Boca Juniors,https://en.wikipedia.org/wiki/Boca_Juniors,Argentina,8,16,2002,2010,Wikipedia player infobox,https://en.wikipedia.org/wiki/Leandro_Paredes,medium,First-pass youth record from Wikipedia. Original youth span: 2002–2010. Club country still needs backfill.
Lionel Messi,Argentina,Abanderado Grandoli,,Argentina,5,8,1992,1995,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lionel_Messi,medium,First-pass youth record from Wikipedia. Original youth span: 1992–1995. Club country still needs backfill.
Lionel Messi,Argentina,Newell's Old Boys,https://en.wikipedia.org/wiki/Newell's_Old_Boys,Argentina,8,13,1995,2000,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lionel_Messi,medium,First-pass youth record from Wikipedia. Original youth span: 1995–2000. Club country still needs backfill.
Lionel Messi,Argentina,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Spain,13,16,2000,2003,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lionel_Messi,medium,First-pass youth record from Wikipedia. Original youth span: 2000–2004. Club country still needs backfill.
Lisandro Martínez,Argentina,Club Urquiza,,Argentina,5,8,2003,2006,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lisandro_Martínez,medium,First-pass youth record from Wikipedia. Original youth span: 2002–2006. Club country still needs backfill.
Lisandro Martínez,Argentina,Club Libertad,,Paraguay,8,16,2006,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lisandro_Martínez,medium,First-pass youth record from Wikipedia. Original youth span: 2006–2014. Club country still needs backfill.
Lisandro Martínez,Argentina,Newell's Old Boys,https://en.wikipedia.org/wiki/Newell's_Old_Boys,Argentina,16,16,2014,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Lisandro_Martínez,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2017. Club country still needs backfill.
Marcos Senesi,Argentina,San Lorenzo,https://en.wikipedia.org/wiki/San_Lorenzo_de_Almagro,Argentina,12,16,2009,2013,Wikipedia player infobox,https://en.wikipedia.org/wiki/Marcos_Senesi,medium,First-pass youth record from Wikipedia. Original youth span: 2009–2016. Club country still needs backfill.
Nahuel Molina,Argentina,Boca Juniors,https://en.wikipedia.org/wiki/Boca_Juniors,Argentina,,,,,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nahuel_Molina,low,Fallback youth record from the earliest listed youth club in the Wikipedia infobox. Exact overlap with ages 5-16 is not published clearly enough to estimate.
Nahuel Molina,Argentina,Club Náutico Fitz Simon,,Argentina,11,11,2009,2009,Transfermarkt,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,medium,Second-pass research. Original span: -2009. Club country pending backfill.
Nahuel Molina,Argentina,Proyecto Crecer,,Argentina,11,14,2009,2012,Transfermarkt,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,medium,Second-pass research. Original span: 2009-2012. Club country pending backfill.
Nahuel Molina,Argentina,CA Boca Juniors,https://en.wikipedia.org/wiki/CA_Boca_Juniors,Argentina,14,16,2012,2014,Transfermarkt,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,medium,Second-pass research. Original span: 2012-2015. Club country pending backfill.
Nico Paz,Argentina,CD San Juan,,Spain,7,10,2011,2014,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nico_Paz,medium,First-pass youth record from Wikipedia. Original youth span: 2011–2014. Club country still needs backfill.
Nico Paz,Argentina,Tenerife,https://en.wikipedia.org/wiki/CD_Tenerife,Spain,10,12,2014,2016,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nico_Paz,medium,First-pass youth record from Wikipedia. Original youth span: 2014–2016. Club country still needs backfill.
Nico Paz,Argentina,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_CF_(youth),Spain,12,16,2016,2020,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nico_Paz,medium,First-pass youth record from Wikipedia. Original youth span: 2016–2022. Club country still needs backfill.
Nicolás Otamendi,Argentina,Vélez Sarsfield,https://en.wikipedia.org/wiki/Club_Atlético_Vélez_Sarsfield,Argentina,7,16,1995,2004,Wikipedia player infobox,https://en.wikipedia.org/wiki/Nicolás_Otamendi,medium,First-pass youth record from Wikipedia. Original youth span: 1995–2007. Club country still needs backfill.
