team_name,fifa_code,confederation,qualification_status,notes
Algeria,ALG,CAF,qualified,
Argentina,ARG,CONMEBOL,qualified,
Australia,AUS,AFC,qualified,
Austria,AUT,UEFA,qualified,
Belgium,BEL,UEFA,qualified,
Bosnia and Herzegovina,BIH,UEFA,qualified,
Brazil,BRA,CONMEBOL,qualified,
Canada,CAN,CONCACAF,qualified,co-host
Cabo Verde,CPV,CAF,qualified,
Colombia,COL,CONMEBOL,qualified,
Croatia,CRO,UEFA,qualified,
Curaçao,CUW,CONCACAF,qualified,
Czechia,CZE,UEFA,qualified,
DR Congo,COD,CAF,qualified,
Ecuador,ECU,CONMEBOL,qualified,
Egypt,EGY,CAF,qualified,
England,ENG,UEFA,qualified,
France,FRA,UEFA,qualified,
Germany,GER,UEFA,qualified,
Ghana,GHA,CAF,qualified,
Haiti,HAI,CONCACAF,qualified,
IR Iran,IRN,AFC,qualified,
Iraq,IRQ,AFC,qualified,
Côte d'Ivoire,CIV,CAF,qualified,
Japan,JPN,AFC,qualified,
Jordan,JOR,AFC,qualified,
Korea Republic,KOR,AFC,qualified,
Mexico,MEX,CONCACAF,qualified,co-host
Morocco,MAR,CAF,qualified,
Netherlands,NED,UEFA,qualified,
New Zealand,NZL,OFC,qualified,
Norway,NOR,UEFA,qualified,
Panama,PAN,CONCACAF,qualified,
Paraguay,PAR,CONMEBOL,qualified,
Portugal,POR,UEFA,qualified,
Qatar,QAT,AFC,qualified,
Saudi Arabia,KSA,AFC,qualified,
Scotland,SCO,UEFA,qualified,
Senegal,SEN,CAF,qualified,
South Africa,RSA,CAF,qualified,
Spain,ESP,UEFA,qualified,
Sweden,SWE,UEFA,qualified,
Switzerland,SUI,UEFA,qualified,
Tunisia,TUN,CAF,qualified,
Türkiye,TUR,UEFA,qualified,
Uruguay,URU,CONMEBOL,qualified,
USA,USA,CONCACAF,qualified,co-host
Uzbekistan,UZB,AFC,qualified,
