national_team,club_name,estimated_training_years,players_trained
Curaçao,PSV,35,4
Spain,Barcelona,33,5
Egypt,Al Ahly,31,5
Scotland,Celtic,29,4
Portugal,Benfica,28,6
Austria,Red Bull Salzburg,28,4
Portugal,Porto,28,4
England,Chelsea,28,3
Ecuador,Independiente del Valle,27,8
Netherlands,Ajax,27,3
Sweden,AIK,24,3
Austria,Austria Wien,23,4
Belgium,Club Brugge,22,3
Argentina,Vélez Sarsfield,22,2
Belgium,Anderlecht,21,6
Croatia,Dinamo Zagreb,21,5
Switzerland,Zürich,20,3
Belgium,Genk,19,5
Scotland,Rangers,19,4
Croatia,Hajduk Split,18,5
Austria,Grazer AK,18,3
Japan,Kawasaki Frontale,18,3
Portugal,Sporting CP,18,3
Argentina,CA River Plate,18,2
Brazil,Flamengo,18,2
England,Liverpool,18,2
Germany,Schalke 04,18,2
Czechia,Slavia Prague,17,3
Tunisia,Espérance de Tunis,17,2
Tunisia,Paris FC,16,2
Belgium,Standard Liège,15,4
Czechia,Viktoria Plzen,15,4
Saudi Arabia,Al-Shabab,15,4
France,Rennes,15,2
Netherlands,Feyenoord,15,2
Brazil,Corinthians,14,2
Curaçao,Groningen,14,2
Haiti,Paris Saint-Germain,14,2
Morocco,Anderlecht,14,2
Switzerland,Luzern,14,2
Paraguay,Cerro Porteño,12,6
Argentina,River Plate,12,4
Ghana,Right to Dream,12,3
Canada,Fulham,12,2
Qatar,Al-Arabi,12,2
Spain,Betis,12,2
Türkiye,Galatasaray,12,2
Bosnia and Herzegovina,HNK Stolac,12,1
Norway,Bryne,12,1
Tunisia,Cannes,12,1
Algeria,Lyon,11,3
Sweden,IF Brommapojkarna,11,3
Uzbekistan,Bunyodkor,11,3
Czechia,Sparta Prague,11,2
England,Arsenal,11,2
England,Tottenham Hotspur,11,2
Germany,Bayern Munich,11,2
Algeria,Real Madrid,11,1
Bosnia and Herzegovina,Hamburger SV,11,1
Brazil,Vasco da Gama,11,1
Colombia,Barrancas,11,1
Côte d'Ivoire,FC Solitaires Paris Est,11,1
Egypt,Wadi Degla,11,1
Netherlands,Smitshoek,11,1
Panama,Independiente,11,1
Scotland,Manchester United,11,1
Spain,Valencia,11,1
Tunisia,Gallia Club Lunel,11,1
Canada,Montreal Impact,10,3
Cabo Verde,Sparta,10,2
Germany,Bayer Leverkusen,10,2
Netherlands,Willem II,10,2
Senegal,Paris Saint-Germain,10,2
Switzerland,Basel,10,2
USA,FC Dallas,10,2
Bosnia and Herzegovina,Austria Klagenfurt,10,1
Croatia,Radnik Velika Gorica,10,1
DR Congo,Anderlecht,10,1
England,Barnsley FC,10,1
England,Birmingham City,10,1
France,Bondy,10,1
Germany,1. FC Köln,10,1
Germany,Manchester City,10,1
Japan,Urawa Red Diamonds,10,1
Morocco,AFC Creil,10,1
New Zealand,Island Bay United,10,1
Norway,Asker Fotball,10,1
Scotland,St. Mirren FC,10,1
Spain,SU Agen,10,1
Sweden,IFK Aspudden-Tellus [ a ],10,1
Türkiye,Bayern Munich,10,1
Türkiye,Rapid Wien,10,1
USA,Arsenal,10,1
Ecuador,LDU Quito,9,3
Panama,Chorrillo,9,3
Uruguay,Peñarol,9,3
Argentina,Boca Juniors,9,2
Morocco,Ajax,9,2
New Zealand,Onehunga Sports,9,2
Paraguay,Boca Juniors,9,2
Spain,Espanyol,9,2
Switzerland,Servette,9,2
Algeria,Ajax,9,1
Argentina,Club Libertad,9,1
Argentina,Racing Club,9,1
Bosnia and Herzegovina,1. FC Köln,9,1
Bosnia and Herzegovina,Karlsruher SC,9,1
Cabo Verde,Sparta Rotterdam,9,1
Canada,CS St-Laurent,9,1
Curaçao,Emmen,9,1
DR Congo,Torcy,9,1
DR Congo,Épinay-sous-Sénart,9,1
England,Manchester City,9,1
England,Manchester United,9,1
England,Newcastle United,9,1
England,Sunderland,9,1
England,West Bromwich Albion,9,1
France,Lyon,9,1
Germany,Chelsea,9,1
Germany,Greuther Fürth,9,1
Japan,FC Viparte,9,1
Morocco,Mallorca,9,1
Morocco,Nancy,9,1
Morocco,Real Madrid,9,1
Morocco,Wydad Casablanca,9,1
Netherlands,PSV,9,1
Paraguay,Club Olimpia,9,1
Qatar,Al-Sadd,9,1
Senegal,BC Bliesheim,9,1
Sweden,Djurgårdens IF,9,1
Türkiye,Waldhof Mannheim,9,1
Senegal,Génération Foot,8,3
Algeria,Paradou AC,8,2
Belgium,Gent,8,2
Belgium,Virton,8,2
Canada,Brampton YSC,8,2
France,Bordeaux,8,2
Algeria,Reims,8,1
Algeria,Reinickendorfer Füchse,8,1
Argentina,Club Social Parque,8,1
Argentina,Liniers,8,1
Bosnia and Herzegovina,Ried,8,1
Brazil,Verê,8,1
Canada,Aurora Youth SC,8,1
Croatia,LASK,8,1
Croatia,NK Zagreb,8,1
Czechia,SK Policka,8,1
Czechia,Zbrojovka Brno,8,1
Côte d'Ivoire,Rennes,8,1
DR Congo,Manchester United,8,1
DR Congo,Meudon AS,8,1
Ecuador,Mujer Trabajadora,8,1
France,Chelsea,8,1
France,Créteil,8,1
Germany,Altona 93,8,1
Germany,Stuttgarter Kickers,8,1
Haiti,Cercle Paul Bert Bréquigny,8,1
Haiti,Rennes,8,1
Jordan,Jordan Knights,8,1
Morocco,Toulouse,8,1
Qatar,Toulouse FC,8,1
Saudi Arabia,Al-Ahli,8,1
Scotland,Coventry City,8,1
Senegal,Blanc-Mesnil SF,8,1
Senegal,Lille,8,1
Senegal,Mulhouse,8,1
Spain,Gimnástico Don Benito,8,1
Sweden,Snöstorp Nyhem FF,8,1
Türkiye,1. Köln,8,1
Türkiye,NEC,8,1
Uzbekistan,Nasaf,7,5
Argentina,Newell's Old Boys,7,2
Austria,Rapid Wien,7,2
Austria,Sturm Graz,7,2
Curaçao,Ajax,7,2
France,Évreux,7,2
Japan,Gamba Osaka,7,2
Norway,Stabæk,7,2
Norway,Strømsgodset,7,2
Türkiye,Bursaspor,7,2
Türkiye,Fenerbahçe,7,2
Australia,Mt Druitt Town Rangers,7,1
Austria,St. Valentin,7,1
Belgium,PSV Eindhoven,7,1
Belgium,RUS Saint-Ode,7,1
Bosnia and Herzegovina,Željeznicar,7,1
Brazil,Internacional,7,1
Cabo Verde,Arcueil COM,7,1
Cabo Verde,Grémio Nhagar,7,1
Canada,AS Notre-Dame-de-Grâce,7,1
Colombia,Arco Zaragoza Medellin,7,1
Colombia,Deportivo Cali,7,1
Croatia,1860 Munich,7,1
Curaçao,Feyenoord Rotterdam,7,1
Czechia,FC Baník Ostrava,7,1
Czechia,FC Ivancice,7,1
Czechia,SFK Meziborí,7,1
Czechia,SK Smíchov Plzen,7,1
DR Congo,Ivry,7,1
France,AS Bondy,7,1
France,Atlético Madrid,7,1
France,Villiers le Bel JS,7,1
Ghana,Lyon Duchère,7,1
Ghana,Teshie Football Academy,7,1
IR Iran,Sepahan,7,1
Japan,Cerezo Osaka,7,1
Japan,Sanchiku Kickers,7,1
Korea Republic,Valencia,7,1
Netherlands,WDS '19,7,1
Norway,Liverpool,7,1
Paraguay,Club 24 de Junio,7,1
Portugal,Boavista,7,1
Scotland,Inverness Caledonian Thistle,7,1
Senegal,Le Havre Caucriauville,7,1
Senegal,Saint-Dié,7,1
Spain,CA Osasuna,7,1
Spain,Villarreal,7,1
Switzerland,SV Würenlos,7,1
Switzerland,Solothurn,7,1
USA,PA Classics,7,1
USA,Philadelphia Union,6,4
Austria,First Vienna FC,6,2
Ecuador,Norte América,6,2
Haiti,Lens,6,2
Korea Republic,Suwon Samsung Bluewings [ note 1 ],6,2
Panama,San Francisco FC,6,2
Senegal,Le Havre,6,2
USA,New York Red Bulls,6,2
Algeria,Lille,6,1
Algeria,Zulte Waregem,6,1
Australia,ECU Joondalup,6,1
Austria,Floridsdorfer AC,6,1
Austria,USC Abersee,6,1
Bosnia and Herzegovina,AIK,6,1
Bosnia and Herzegovina,Modrica,6,1
Brazil,São Paulo FC,6,1
Cabo Verde,AS Champs-sur-Marne,6,1
Cabo Verde,Damaiense,6,1
