national_team,club_country,estimated_training_years,players_trained
England,England,176,17
France,France,162,13
Belgium,Belgium,150,17
Austria,Austria,147,13
Spain,Spain,145,16
Portugal,Portugal,140,14
Germany,Germany,140,12
Argentina,Argentina,128,20
Switzerland,Switzerland,124,16
Japan,Japan,123,17
Curaçao,Netherlands,123,13
Netherlands,Netherlands,120,13
Czechia,Czechia,113,17
Sweden,Sweden,104,14
Scotland,Scotland,96,13
Norway,Norway,94,20
Canada,Canada,93,15
Croatia,Croatia,85,12
Brazil,Brazil,82,14
Algeria,France,81,9
DR Congo,France,72,6
USA,United States,70,17
Türkiye,Türkiye,69,12
Australia,Australia,67,16
Ecuador,Ecuador,62,10
Egypt,Egypt,55,15
Saudi Arabia,Saudi Arabia,53,15
Senegal,France,53,7
Tunisia,France,52,7
Côte d'Ivoire,France,52,6
Paraguay,Paraguay,51,14
Senegal,Senegal,50,12
Korea Republic,South Korea,47,14
New Zealand,New Zealand,47,12
Tunisia,Tunisia,47,11
Morocco,France,42,4
Haiti,France,40,7
Türkiye,Germany,39,5
Qatar,Qatar,38,13
IR Iran,Iran,36,14
Bosnia and Herzegovina,Bosnia and Herzegovina,35,10
Morocco,Spain,34,4
Bosnia and Herzegovina,Germany,34,3
Mexico,Mexico,32,14
Uruguay,Uruguay,32,12
Haiti,Haiti,31,7
Scotland,England,30,5
Bosnia and Herzegovina,Austria,29,3
Türkiye,Netherlands,28,3
Uzbekistan,Uzbekistan,27,17
Panama,Panama,27,14
Morocco,Netherlands,27,3
Colombia,Colombia,26,12
Cabo Verde,Cabo Verde,26,10
Morocco,Belgium,25,2
Jordan,Jordan,23,13
Cabo Verde,Netherlands,23,6
Ghana,Ghana,21,7
Germany,England,21,2
Cabo Verde,Portugal,18,5
Morocco,Morocco,18,3
USA,England,18,3
Cabo Verde,France,18,2
Tunisia,Denmark,17,1
Ghana,France,16,3
Argentina,Spain,16,2
Canada,England,16,2
France,England,16,2
DR Congo,Belgium,14,3
Mexico,Spain,14,1
Croatia,Germany,13,3
DR Congo,England,13,2
Côte d'Ivoire,Côte d'Ivoire,12,7
Algeria,Belgium,12,2
Algeria,Germany,12,1
IR Iran,Sweden,12,1
Spain,France,12,1
Iraq,Iraq,11,9
Algeria,Netherlands,11,2
Korea Republic,Spain,11,2
Norway,England,11,2
Qatar,France,11,2
Algeria,Spain,11,1
Colombia,Argentina,11,1
Türkiye,Austria,10,1
Paraguay,Argentina,9,2
Argentina,Paraguay,9,1
Australia,Wales,9,1
Bosnia and Herzegovina,Sweden,9,1
France,Spain,9,1
Japan,Switzerland,9,1
USA,Netherlands,9,1
Austria,Germany,8,4
Algeria,Algeria,8,3
Iraq,Denmark,8,2
Japan,Spain,8,2
Croatia,Austria,8,1
Croatia,Bosnia and Herzegovina,8,1
Czechia,United States,8,1
Ecuador,Spain,8,1
Qatar,Belgium,8,1
Qatar,Portugal,8,1
Iraq,Sweden,7,4
Tunisia,Germany,7,3
Ghana,England,7,2
Belgium,Netherlands,7,1
DR Congo,DR Congo,7,1
South Africa,South Africa,6,16
Canada,Spain,6,1
New Zealand,England,6,1
Sweden,England,6,1
Tunisia,England,5,3
Haiti,Brazil,5,2
Haiti,United States,5,2
Mexico,United States,5,2
Canada,Uruguay,5,1
Iraq,England,5,1
New Zealand,United States,5,1
Portugal,Morocco,5,1
USA,Germany,5,1
Uruguay,Argentina,5,1
Canada,United States,4,2
Curaçao,France,4,1
Côte d'Ivoire,Italy,4,1
England,Australia,4,1
Paraguay,Spain,4,1
Senegal,Germany,4,1
Uruguay,Paraguay,4,1
Australia,England,3,2
Australia,Belgium,3,1
Australia,Croatia,3,1
Belgium,Luxembourg,3,1
Bosnia and Herzegovina,United States,3,1
Canada,Portugal,3,1
Colombia,Paraguay,3,1
Czechia,France,3,1
Ghana,Spain,3,1
Haiti,Belgium,3,1
Tunisia,Netherlands,3,1
USA,France,3,1
Netherlands,England,2,2
Australia,Scotland,2,1
Côte d'Ivoire,Argentina,2,1
Ecuador,Germany,2,1
France,Belgium,2,1
France,Monaco,2,1
Japan,South Korea,2,1
Morocco,Panama,2,1
Portugal,Brazil,2,1
Portugal,Denmark,2,1
Portugal,Spain,2,1
Tunisia,Monaco,2,1
USA,Sweden,2,1
Argentina,Portugal,1,1
Austria,England,1,1
Belgium,Germany,1,1
Bosnia and Herzegovina,Croatia,1,1
Cabo Verde,United States,1,1
Curaçao,Canada,1,1
Czechia,Netherlands,1,1
Côte d'Ivoire,Spain,1,1
Côte d'Ivoire,United States,1,1
Ecuador,Colombia,1,1
Ecuador,Türkiye,1,1
England,Netherlands,1,1
England,New Zealand,1,1
Jordan,United States,1,1
Korea Republic,Germany,1,1
Korea Republic,Netherlands,1,1
Morocco,England,1,1
Norway,Denmark,1,1
Norway,Spain,1,1
Portugal,United States,1,1
Qatar,Spain,1,1
Spain,Croatia,1,1
Tunisia,Norway,1,1
Colombia,Germany,0,1
Colombia,Spain,0,1
Curaçao,Curaçao,0,1
DR Congo,Cameroon,0,1
DR Congo,Portugal,0,1
Ecuador,Argentina,0,1
Ghana,Austria,0,1
Ghana,Germany,0,1
Ghana,Netherlands,0,1
Haiti,Spain,0,1
Iraq,Germany,0,1
Panama,Türkiye,0,1
Panama,United States,0,1
Senegal,Norway,0,1
